timestamp,scan_number,pair,ticker1,ticker2,last_price_t1,last_price_t2,z_score,direction,is_signal,edge_bps,confidence
2026-05-06 15:30:54 UTC,1,SPY/IVV,SPY,IVV,732.0335,735.4,-0.113078,FLAT_EXIT,False,0.0,0.028
2026-05-06 15:30:54 UTC,1,GLD/IAU,GLD,IAU,431.14,88.3497,-1.207256,HOLD,False,2.02,0.302
2026-05-06 15:35:54 UTC,2,SPY/IVV,SPY,IVV,731.885,735.29,-0.461263,FLAT_EXIT,False,0.0,0.115
2026-05-06 15:35:54 UTC,2,GLD/IAU,GLD,IAU,430.96,88.2971,-0.512475,HOLD,False,0.27,0.128
2026-05-06 15:40:54 UTC,3,SPY/IVV,SPY,IVV,731.595,735.035,-0.782543,HOLD,False,0.18,0.196
2026-05-06 15:40:54 UTC,3,GLD/IAU,GLD,IAU,430.7,88.277,-1.944493,HOLD,False,3.96,0.486
2026-05-06 15:45:54 UTC,4,SPY/IVV,SPY,IVV,731.43,734.815,-0.302658,FLAT_EXIT,False,0.0,0.076
2026-05-06 15:45:54 UTC,4,GLD/IAU,GLD,IAU,430.88,88.27,-0.030134,FLAT_EXIT,False,0.0,0.008
2026-05-06 15:50:55 UTC,5,SPY/IVV,SPY,IVV,731.44,734.855,-0.568319,HOLD,False,0.0,0.142
2026-05-06 15:50:55 UTC,5,GLD/IAU,GLD,IAU,430.7829,88.25,-0.025469,FLAT_EXIT,False,0.0,0.006
2026-05-06 15:55:55 UTC,6,SPY/IVV,SPY,IVV,731.84,735.26,-0.596054,HOLD,False,0.0,0.149
2026-05-06 15:55:55 UTC,6,GLD/IAU,GLD,IAU,430.85,88.275,-0.532177,HOLD,False,0.32,0.133
